Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
Manhattan ,3,M199 ,P.S. 199 Jessie Isador Straus ,Elementary ,848,665,128%
,,,,,,,
Manhattan ,3,M009 ,P.S. 009 Sarah Anderson ,Elementary ,619,544,114%
,,,,,,,
Manhattan ,3,M163 ,P.S. 163 Alfred E. Smith ,Elementary ,565,525,108%
,,,,,,,
Manhattan ,3,M250 ,M.S. 250 West Side Collaborative Middle School ,Junior High-Intermediate-Middle ,178,167,107%
,,,,,,,
Manhattan ,3,M256 ,Lafayette Academy ,Junior High-Intermediate-Middle ,138,133,104%
,,,,,,,
Manhattan ,3,M862 ,Mott Hall II ,Junior High-Intermediate-Middle ,342,335,102%
,,,,,,,
Manhattan ,4,M680 ,"Heritage School, The ",High school ,294,246,120%
,,,,,,,
Manhattan ,4,M083 ,P.S. 083 Luis Munoz Rivera ,Elementary ,439,371,118%
,,,,,,,
Manhattan ,4,M012 ,Tag Young Scholars ,K-8 ,587,509,115%
,,,,,,,
Manhattan ,4,M964 ,Central Park East II ,K-8 ,448,390,115%
,,,,,,,
Manhattan ,4,M435 ,Manhattan Center for Science and Mathematics ,High school ,"1,625","1,463",111%
,,,,,,,
Manhattan ,4,M497 ,Central Park East I ,Elementary ,196,177,111%
,,,,,,,
Manhattan ,4,M708 ,Harlem Prep Charter School ,K-12 all grades ,310,291,107%
,,,,,,,
Manhattan ,4,M206 ,P.S. 206 Jose Celso Barbosa ,K-8 ,473,450,105%
,,,,,,,
Manhattan ,4,M171 ,P.S. 171 Patrick Henry ,K-8 ,725,694,104%
,,,,,,,
Manhattan ,4,M057 ,James Weldon Johnson ,K-8 ,818,787,104%
,,,,,,,
Manhattan ,4,M495 ,Park East High School ,High school ,406,404,100%
,,,,,,,
Manhattan ,5,M517 ,Teachers College Community School ,K-8 ,286,162,177%
,,,,,,,
Manhattan ,5,M125 ,P.S. 125 Ralph Bunche ,Elementary ,297,202,147%
,,,,,,,
Manhattan ,5,M318 ,Thurgood Marshall Academy Lower School ,Elementary ,221,160,138%
,,,,,,,
Manhattan ,5,M482 ,Success Academy Charter School - Harlem 5 ,K-8 ,798,585,136%
,,,,,,,
Manhattan ,5,M223 ,The Mott Hall School ,Junior High-Intermediate-Middle ,292,247,118%
,,,,,,,
Manhattan ,5,M726 ,KIPP STAR College Prep Charter School ,K-12 all grades ,670,568,118%
,,,,,,,
Manhattan ,5,M065 ,Democracy Prep Endurance Charter School ,Secondary School ,323,285,113%
,,,,,,,
Manhattan ,5,M350 ,Democracy Prep Charter School ,K-12 all grades ,693,637,109%
,,,,,,,
Manhattan ,5,M388 ,St. HOPE Leadership Academy Charter School ,Junior High-Intermediate-Middle ,301,283,106%
,,,,,,,
Manhattan ,5,M197 ,P.S. 197 John B. Russwurm ,Elementary ,314,307,102%
,,,,,,,
Manhattan ,6,M314 ,Muscota ,Elementary ,292,154,190%
,,,,,,,
Manhattan ,6,M278 ,Paula Hedbavny School ,K-8 ,559,353,158%
,,,,,,,
Manhattan ,6,M187 ,P.S./I.S. 187 Hudson Cliffs ,K-8 ,799,553,144%
,,,,,,,
Manhattan ,6,M366 ,Washington Heights Academy ,K-8 ,571,455,125%
,,,,,,,
Manhattan ,6,M103 ,Dos Puentes Elementary School ,Elementary ,351,287,122%
,,,,,,,
Manhattan ,6,M048 ,P.S. 048 P.O. Michael J. Buczek ,Elementary ,543,445,122%
,,,,,,,
Manhattan ,6,M346 ,Community Health Academy of the Heights ,Secondary School ,703,591,119%
,,,,,,,
Manhattan ,6,M210 ,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership ,K-8 ,419,356,118%
,,,,,,,
Manhattan ,6,M528 ,I.S. 528 Bea Fuller Rodgers School ,Junior High-Intermediate-Middle ,224,191,117%
,,,,,,,
Manhattan ,6,M008 ,P.S. 008 Luis Belliard ,Elementary ,532,458,116%
,,,,,,,
Manhattan ,6,M552 ,Gregorio Luperon High School for Science and Mathematics ,High school ,524,457,115%
,,,,,,,
Manhattan ,6,M311 ,Amistad Dual Language School ,K-8 ,395,346,114%
,,,,,,,
Manhattan ,6,M004 ,P.S. 004 Duke Ellington ,Elementary ,557,494,113%
,,,,,,,
Bronx ,7,X469 ,P469X - The Bronx School for Continuous Learners ,K-8 ,340,226,150%
,,,,,,,
Bronx ,7,X025 ,P.S. 025 Bilingual School ,Elementary ,540,443,122%
,,,,,,,
Bronx ,7,X389 ,Bronx Global Learning Institute for Girls Charter School ,K-8 ,436,362,120%
,,,,,,,
Bronx ,7,X364 ,South Bronx Classical Charter School II ,Elementary ,312,261,120%
,,,,,,,
Bronx ,7,X527 ,Bronx Leadership Academy II High School ,High school ,513,433,118%
,,,,,,,
Bronx ,7,X018 ,P.S. 018 John Peter Zenger ,Elementary ,603,520,116%
,,,,,,,
Bronx ,7,X030 ,P.S. 030 Wilton ,Elementary ,559,501,112%
,,,,,,,
Bronx ,7,X471 ,American Dream Charter School ,Junior High-Intermediate-Middle ,259,236,110%
,,,,,,,
Bronx ,7,X223 ,The Laboratory School of Finance and Technology: X223 ,Secondary School ,684,656,104%
,,,,,,,
Bronx ,7,X005 ,P.S. 5 Port Morris ,K-8 ,722,698,103%
,,,,,,,
Bronx ,7,X168 ,P.S. 168 ,K-12 all grades ,533,521,102%
,,,,,,,
Bronx ,7,X381 ,Bronx Haven High School ,High school ,192,189,102%
,,,,,,,
Bronx ,7,X065 ,P.S. 065 Mother Hale Academy ,Elementary ,395,390,101%
,,,,,,,
Bronx ,8,X562 ,Blueprint Middle School ,Junior High-Intermediate-Middle ,336,176,191%
,,,,,,,
