Borough,District,Building Code,Building Name,Building Enrollment (2016-2017 Blue Book),Building Capacity (2016-2017 Blue Book),School DBN,School Name,Building Usage Plans Not Yet At Scale in 2018-2019
K,23,K894,HS FOR PUBLIC SERVICE-ENY - K,459,652,23K646,Aspirations Diploma Plus High School,
K,23,K894,HS FOR PUBLIC SERVICE-ENY - K,459,652,79M984,LYFE,
K,23,K894,HS FOR PUBLIC SERVICE-ENY - K,459,652,84K395,Roads Charter School I,
Q,25,Q189,J.H.S. 189 - QUEENS,1176,1359,25Q189,J.H.S. 189 Daniel Carter Beard,
Q,25,Q189,J.H.S. 189 - QUEENS,1176,1359,25Q263,Flushing International High School,
Q,25,Q499,P.S./I.S. 499 - QUEENS,560,715,25Q499,"The Queens College School for Math, Science and Technology",
Q,25,Q499,P.S./I.S. 499 - QUEENS,560,715,75Q993,P.S. Q993,
Q,26,Q172,J.H.S. 172 - QUEENS,993,1219,26Q172,Irwin Altman Middle School 172,
Q,27,Q042,P.S. 42 - QUEENS,808,971,27Q042,P.S./M.S 042 R. Vernam,
Q,27,Q042,P.S. 42 - QUEENS,808,971,75Q233,P.S. Q233,
Q,27,Q053[15],I.S. 53 - QUEENS,782,1324,27Q053,M.S. 053 Brian Piccolo,Y
Q,27,Q053,I.S. 53 - QUEENS,782,1324,27Q319,Village Academy,Y
Q,27,Q053,I.S. 53 - QUEENS,782,1324,84Q375,Success Academy Charter School - Far Rockaway,Y
Q,27,Q183,P.S. 183 - QUEENS,575,746,27Q183,P.S. 183 Dr. Richard R. Green,
