Borough,District,Building Code,Building Name,Building Enrollment (2016-2017 Blue Book),Building Capacity (2016-2017 Blue Book),School DBN,School Name,Building Usage Plans Not Yet At Scale in 2018-2019
M,2,M625[2],HS OF GRAPHIC COMMUNICATION ARTS-M,1895,2249,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Y
M,2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1895,2249,02M393,Business Of Sports School,Y
M,2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1895,2249,02M507,Urban Assembly Gateway School for Technology,Y
M,2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1895,2249,84M170,Success Academy Hell's Kitchen (Manhattan 2),Y
M,2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1895,2249,84M523,Success Academy Charter School - Upper West,Y
M,2,M933,I.S. 260 - MANHATTAN,247,519,02M933,City Knoll Middle School,
M,3,M144,P.S. 242 (OLD P144) - MANHATTAN,566,809,03M242,P.S. 242 - The Young Diplomats Magnet Academy,
M,3,M144,P.S. 242 (OLD P144) - MANHATTAN,566,809,84M861,Future Leaders Institute Charter School,
M,3,M145,P.S. 145 - MANHATTAN,571,721,03M145,"P.S. 145, The Bloomingdale School",
M,3,M145,P.S. 145 - MANHATTAN,571,721,03M421,West Prep Academy,
M,3,M191[3],P.S. 191 - MANHATTAN,425,559,03M452,P.S. 452,Y
M,3,M208,P.S. 208 (TANDEM M185) - MANHATTAN,823,1050,03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,
M,3,M208,P.S. 208 (TANDEM M185) - MANHATTAN,823,1050,03M208,The Alain L. Locke Magnet School for Environmental Stewardship,
M,3,M208,P.S. 208 (TANDEM M185) - MANHATTAN,823,1050,75M226,P.S. M226,
M,3,M208,P.S. 208 (TANDEM M185) - MANHATTAN,823,1050,84M329,Harlem Link Charter School,
M,3,M506,EDWARD A. REYNOLDS WEST SIDE HS- M,492,686,03M505,Edward A. Reynolds West Side High School,
M,3,M506,EDWARD A. REYNOLDS WEST SIDE HS- M,492,686,79M984,LYFE,
M,4,M007,P.S. 7 - MANHATTAN,509,734,04M007,P.S. 007 Samuel Stern,
M,4,M007,P.S. 7 - MANHATTAN,509,734,04M406,Global Technology Preparatory,
M,4,M013,I.S. 13 - MANHATTAN,1017,1251,04M497,Central Park East I,Y
M,4,M013,I.S. 13 - MANHATTAN,1017,1251,04M555,Central Park East High School,Y
M,4,M013,I.S. 13 - MANHATTAN,1017,1251,84M168,East Harlem Scholars Academy Charter School II,Y
M,4,M117,J.H.S. 117 - MANHATTAN,1222,1498,04M012,Tag Young Scholars,
M,4,M117,J.H.S. 117 - MANHATTAN,1222,1498,04M372,Esperanza Preparatory Academy,
M,4,M117,J.H.S. 117 - MANHATTAN,1222,1498,75M138,P.S. 138,
M,4,M155,P.S. 155 - MANHATTAN,436,589,04M155,P.S. 155 William Paca,
