"","dbn","latitude","longitude","postcode","accessibility","district","borough","school_name.x","year","total_enrollment","grade_pk_half_day_full_day","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multiple_race_categories","multiple_race_categories_1","white","white_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index","school_name.y","sharedbuilding","school_name"
"1","01M015","40.721807","-73.979022","10009","Partially Accessible","1","MANHATTAN","P.S. 015 Roberto Clemente","2018-19","174","13","20","33","30","30","20","28","0","0","0","0","0","0","0","85","0.489","89","0.511","24","0.138","48","0.276","95","0.546","1","0.006","6","0.034","38","0.218","8","0.046","145","0.833","0.88","P.S. 15 Roberto Clemente",NA,NA
"2","01M019","40.729636","-73.983818","10003","Not Accessible","1","MANHATTAN","P.S. 019 Asher Levy","2018-19","249","10","30","39","43","41","44","42","0","0","0","0","0","0","0","114","0.458","135","0.542","14","0.056","52","0.209","156","0.627","9","0.036","18","0.072","92","0.369","8","0.032","180","0.723","0.668","P.S. 19 Asher Levy",NA,NA
"3","01M020","40.72154","-73.986648","10002","Partially Accessible","1","MANHATTAN","P.S. 020 Anna Silver","2018-19","481","42","61","69","76","67","90","76","0","0","0","0","0","0","0","239","0.497","242","0.503","138","0.287","66","0.137","239","0.497","16","0.033","22","0.046","115","0.239","63","0.131","316","0.657","0.738","P.S. 20 Anna Silver",NA,NA
"4","01M034","40.726473","-73.975181","10009","Not Accessible","1","MANHATTAN","P.S. 034 Franklin D. Roosevelt","2018-19","305","17","26","20","16","21","43","40","39","44","39","0","0","0","0","145","0.475","160","0.525","8","0.026","102","0.334","182","0.597","4","0.013","9","0.03","114","0.374","22","0.072","301","0.987","0.944","P.S. 34 Franklin D. Roosevelt","0","P.S. 034 Franklin D. Roosevelt (01M034)"
"5","01M063","40.724117","-73.986381","10009","Not Accessible","1","MANHATTAN","The STAR Academy - P.S.63","2018-19","230","23","49","41","28","40","25","24","0","0","0","0","0","0","0","104","0.452","126","0.548","4","0.017","45","0.196","150","0.652","9","0.039","22","0.096","73","0.317","4","0.017","176","0.765","0.732","The STAR Academy - P.S. 63",NA,NA
"6","01M064","40.72438","-73.98138","10009","Not Accessible","1","MANHATTAN","P.S. 064 Robert Simon","2018-19","223","19","42","32","40","29","28","33","0","0","0","0","0","0","0","93","0.417","130","0.583","7","0.031","41","0.184","159","0.713","4","0.018","12","0.054","62","0.278","6","0.027","192","0.861","0.896","P.S. 64 Robert Simon",NA,NA
"7","01M110","40.715915","-73.979893","10002","Not Accessible","1","MANHATTAN","P.S. 110 Florence Nightingale","2018-19","372","34","59","66","59","52","45","57","0","0","0","0","0","0","0","168","0.452","204","0.548","59","0.159","37","0.099","168","0.452","12","0.032","96","0.258","46","0.124","8","0.022","210","0.565","0.592","P.S. 110 Florence Nightingale",NA,NA
"8","01M134","40.71457","-73.983724","10002","Partially Accessible","1","MANHATTAN","P.S. 134 Henrietta Szold","2018-19","281","14","43","37","35","45","53","54","0","0","0","0","0","0","0","126","0.448","155","0.552","27","0.096","73","0.26","169","0.601","3","0.011","9","0.032","116","0.413","24","0.085","259","0.922","0.913","P.S. 134 Henrietta Szold",NA,NA
"9","01M140","40.71925","-73.983056","10002","Not Accessible","1","MANHATTAN","P.S. 140 Nathan Straus","2018-19","385","12","30","32","32","26","25","29","64","67","68","0","0","0","0","188","0.488","197","0.512","17","0.044","54","0.14","305","0.792","0","0.0","9","0.023","137","0.356","43","0.112","321","0.834","0.885","P.S. 140 Nathan Straus","0","P.S. 140 Nathan Straus (01M140)"
"10","01M142","40.718383","-73.984452","10002","Partially Accessible","1","MANHATTAN","P.S. 142 Amalia Castro","2018-19","353","51","48","55","49","51","44","55","0","0","0","0","0","0","0","153","0.433","200","0.567","13","0.037","55","0.156","273","0.773","7","0.02","5","0.014","128","0.363","26","0.074","338","0.958","0.901","P.S. 142 Amalia Castro",NA,NA
